,Date,Highlights,Heading,Smallheading,Image
0,2024-12-10T05:00:18.754Z,Google LLC,Brussels probes Google and Meta secret ads deal to target teens,Regulators request information after FT investigation into partnership that skirted search giant’s rules on minors,"{'Src': 'https://www.ft.com/__origami/service/image/v2/images/raw/https%3A%2F%2Fd1e00ek4ebabms.cloudfront.net%2Fproduction%2F65559d93-2aed-4158-8bdf-f3b0ff268741.jpg?source=next&fit=scale-down&dpr=2&width=240', 'Alt': 'A montage of a teenager using a phone with the logos of Google and Meta in the background'}"
1,2024-12-07T12:00:33.004Z,Google LLC,Meta rolls out internal AI tool as it pushes into business market,Social media group targets burgeoning artificial intelligence sector as it develops ‘Metamate’ workplace assistant,"{'Src': 'https://www.ft.com/__origami/service/image/v2/images/raw/https%3A%2F%2Fd1e00ek4ebabms.cloudfront.net%2Fproduction%2Fc1e0b904-9755-4406-a503-29b8e2cc8c95.jpg?source=next&fit=scale-down&dpr=2&width=240', 'Alt': 'Meta logo'}"
2,2024-12-04T12:12:37.239Z,Rafał Brzoska,Polish billionaire seeks support for ‘deepfake’ scams lawsuit against Meta,InPost founder Rafał Brzoska wants 150 prominent figures to join move against Facebook parent over AI-created images,"{'Src': 'https://www.ft.com/__origami/service/image/v2/images/raw/https%3A%2F%2Fd1e00ek4ebabms.cloudfront.net%2Fproduction%2F4872f7b7-86a3-4ba3-b9b5-975d63b575bf.jpg?source=next&fit=scale-down&dpr=2&width=240', 'Alt': 'Omenaa Mensah and Rafał Brzoska attend a Cannes gala in France'}"
3,2024-12-03T13:00:57.825Z,Rafał Brzoska,Meta’s Zuckerberg seeks ‘active role’ in Trump tech policies,"Policy chief Nick Clegg says social media company ‘overdid it’ on content moderation, as it seeks to placate president-elect","{'Src': 'https://www.ft.com/__origami/service/image/v2/images/raw/https%3A%2F%2Fd1e00ek4ebabms.cloudfront.net%2Fproduction%2Ff747e9da-3a44-4936-b992-052ae7bbfb51.jpg?source=next&fit=scale-down&dpr=2&width=240', 'Alt': 'Nick Clegg gestures as he speaks. He can be seen between two people with their backs to the camera'}"
4,2024-11-23T13:00:00.851Z,Rafał Brzoska,Meta loses ground to Bluesky as users abandon Elon Musk’s X ,Social media giant’s Threads app makes changes as smaller competitor to X surges,"{'Src': 'https://www.ft.com/__origami/service/image/v2/images/raw/https%3A%2F%2Fd1e00ek4ebabms.cloudfront.net%2Fproduction%2F4883c9cb-1793-4d49-a539-06dc40a05cae.jpg?source=next&fit=scale-down&dpr=2&width=240', 'Alt': 'Bluesky and X app logos'}"
5,2024-11-23T13:00:00.851Z,Rafał Brzoska,Meta loses ground to Bluesky as users abandon Elon Musk’s X ,Social media giant’s Threads app makes changes as smaller competitor to X surges,"{'Src': 'https://www.ft.com/__origami/service/image/v2/images/raw/https%3A%2F%2Fd1e00ek4ebabms.cloudfront.net%2Fproduction%2F4883c9cb-1793-4d49-a539-06dc40a05cae.jpg?source=next&fit=scale-down&dpr=2&width=240', 'Alt': 'Bluesky and X app logos'}"
6,2024-11-14T13:31:55.749Z,EU tech regulation,Meta fined nearly €800mn for breaking EU law over classified ads practices,"Facebook is undermining rivals by ‘tying’ its free Marketplace services with the social network, Brussels says","{'Src': 'https://www.ft.com/__origami/service/image/v2/images/raw/https%3A%2F%2Fd1e00ek4ebabms.cloudfront.net%2Fproduction%2F911e8744-8d17-44bc-8ae7-c791efd208e7.jpg?source=next&fit=scale-down&dpr=2&width=240', 'Alt': 'Meta logo'}"
7,2024-11-11T13:13:46.127Z,Hannah Murphy,How weight loss drugs took over Instagram,Studies show strong links between photo-centric social media and eating disorder pathology ,"{'Src': 'https://www.ft.com/__origami/service/image/v2/images/raw/https%3A%2F%2Fd1e00ek4ebabms.cloudfront.net%2Fproduction%2Fe9001df8-1fb7-47ff-8b62-97f785dca34c.jpg?source=next&fit=scale-down&dpr=2&width=240', 'Alt': 'FT Montage showing weightloss adverts on Instagram'}"
8,2024-11-04T11:00:01.195Z,Hannah Murphy,Meta’s plan for nuclear-powered AI data centre thwarted by rare bees,Environmental issue disrupts search for energy deals amid a Big Tech race over artificial intelligence,"{'Src': 'https://www.ft.com/__origami/service/image/v2/images/raw/https%3A%2F%2Fd1e00ek4ebabms.cloudfront.net%2Fproduction%2Fc5972c1f-5c87-423a-b55c-153ed0be6398.jpg?source=next&fit=scale-down&dpr=2&width=240', 'Alt': 'Mark Zuckerberg'}"
9,2024-11-01T14:40:39.216Z,Big Tech,Wall Street frets over Big Tech’s $200bn AI spending splurge,The four biggest US internet groups this week showed glimpses of benefits but warned of increased spending,"{'Src': 'https://www.ft.com/__origami/service/image/v2/images/raw/https%3A%2F%2Fd1e00ek4ebabms.cloudfront.net%2Fproduction%2F37cf18e2-a613-4a66-944e-f09ee890e637.jpg?source=next&fit=scale-down&dpr=2&width=240', 'Alt': ''}"
10,2024-11-01T14:40:39.216Z,Big Tech,Wall Street frets over Big Tech’s $200bn AI spending splurge,The four biggest US internet groups this week showed glimpses of benefits but warned of increased spending,"{'Src': 'https://www.ft.com/__origami/service/image/v2/images/raw/https%3A%2F%2Fd1e00ek4ebabms.cloudfront.net%2Fproduction%2F37cf18e2-a613-4a66-944e-f09ee890e637.jpg?source=next&fit=scale-down&dpr=2&width=240', 'Alt': ''}"
11,2024-11-01T09:31:56.292Z,Big Tech,Silicon Valley super-spenders leave too much in the cloud,"Amazon, like its peers, is fuzzy on its investment plans, and the potential payback","{'Src': 'https://www.ft.com/__origami/service/image/v2/images/raw/https%3A%2F%2Fd1e00ek4ebabms.cloudfront.net%2Fproduction%2Ff7f79ac2-8b96-4a04-b56d-1726d4f24f47.jpg?source=next&fit=scale-down&dpr=2&width=240', 'Alt': 'A delivery worker wearing an Amazon vest pulls a trolley loaded with Amazon packages'}"
12,2024-11-01T05:00:08.991Z,EssilorLuxottica,EssilorLuxottica bets on glasses replacing smartphones as value hits €100bn ,Eyewear giant chief Francesco Milleri says wearable technology developed with Meta will fuel growth ,"{'Src': 'https://www.ft.com/__origami/service/image/v2/images/raw/https%3A%2F%2Fd1e00ek4ebabms.cloudfront.net%2Fproduction%2Fa6a9fb1e-58bc-4273-a23a-8b667fc8da01.jpg?source=next&fit=scale-down&dpr=2&width=240', 'Alt': 'Francesco Milleri'}"
13,2024-11-01T05:00:08.991Z,EssilorLuxottica,EssilorLuxottica bets on glasses replacing smartphones as value hits €100bn ,Eyewear giant chief Francesco Milleri says wearable technology developed with Meta will fuel growth ,"{'Src': 'https://www.ft.com/__origami/service/image/v2/images/raw/https%3A%2F%2Fd1e00ek4ebabms.cloudfront.net%2Fproduction%2Fa6a9fb1e-58bc-4273-a23a-8b667fc8da01.jpg?source=next&fit=scale-down&dpr=2&width=240', 'Alt': 'Francesco Milleri'}"
14,2024-10-31T16:24:55.402Z,EssilorLuxottica,Meta sees AI spending accelerating as earnings top forecasts,Mark Zuckerberg cites the potential for ‘strong’ returns in coming years on heavy investments in new technology,"{'Src': 'https://www.ft.com/__origami/service/image/v2/images/raw/https%3A%2F%2Fd1e00ek4ebabms.cloudfront.net%2Fproduction%2Fef67e097-31a2-4eb7-91f9-fa5ce9cd8368.jpg?source=next&fit=scale-down&dpr=2&width=240', 'Alt': 'The Meta logo'}"
15,2024-10-30T23:36:35.935Z,Big Tech,Meta and Microsoft pass their quarterly sanity-check,"Tech giants tout real wins today to justify huge investment tomorrow. Investors are supportive, to a point","{'Src': 'https://www.ft.com/__origami/service/image/v2/images/raw/https%3A%2F%2Fd1e00ek4ebabms.cloudfront.net%2Fproduction%2F9c7f8610-ed3d-4a08-843b-f0ef15dd840d.jpg?source=next&fit=scale-down&dpr=2&width=240', 'Alt': 'Meta and Microsoft logos against a Microsoft metaverse teams background with a Facebook horizon workrooms avatar in the foreground'}"
16,2024-10-28T21:00:02.117Z,Snap Inc,Evan Spiegel battles to revive Snap’s fortunes,Snapchat creator’s ambitions in augmented reality and online advertising hit by growing strength of arch-rival Meta,"{'Src': 'https://www.ft.com/__origami/service/image/v2/images/raw/https%3A%2F%2Fd1e00ek4ebabms.cloudfront.net%2Fproduction%2F07b7fea3-6f3a-469d-b93f-0d37fb130665.jpg?source=next&fit=scale-down&dpr=2&width=240', 'Alt': 'Evan Spiegel, Snapchat logo, US dollars'}"
17,2024-10-24T04:00:57.856Z,Women in Business,Meet Joelle Pineau: shaping AI as the world grapples with its potential,Meta’s head of research into the technology explains the career path that led to weighing questions on society’s future,"{'Src': 'https://www.ft.com/__origami/service/image/v2/images/raw/https%3A%2F%2Fd1e00ek4ebabms.cloudfront.net%2Fproduction%2F0c4db36e-e504-4ea2-9f67-0b62dbf791b7.jpg?source=next&fit=scale-down&dpr=2&width=240', 'Alt': 'A smiling woman stands confidently with her arms crossed, wearing a bright purple dress. She is outdoors in front of a metal staircase'}"
18,2024-10-17T04:00:24.437Z,Artificial intelligence,Meta under fire for ‘polluting’ open-source,Open Source Initiative chief criticises tech group for using the term to describe its Llama models,"{'Src': 'https://www.ft.com/__origami/service/image/v2/images/raw/https%3A%2F%2Fd1e00ek4ebabms.cloudfront.net%2Fproduction%2F5cb88ea1-6b48-4d73-82e3-814285ed8681.jpg?source=next&fit=scale-down&dpr=2&width=240', 'Alt': 'A person wearing a plaid jacket types on a white laptop. The background is red with a dotted pattern, featuring the logos of the Open Source Initiative and Meta.'}"
19,2024-10-17T04:00:24.437Z,Artificial intelligence,Meta under fire for ‘polluting’ open-source,Open Source Initiative chief criticises tech group for using the term to describe its Llama models,"{'Src': 'https://www.ft.com/__origami/service/image/v2/images/raw/https%3A%2F%2Fd1e00ek4ebabms.cloudfront.net%2Fproduction%2F5cb88ea1-6b48-4d73-82e3-814285ed8681.jpg?source=next&fit=scale-down&dpr=2&width=240', 'Alt': 'A person wearing a plaid jacket types on a white laptop. The background is red with a dotted pattern, featuring the logos of the Open Source Initiative and Meta.'}"
20,2024-10-17T01:37:57.541Z,Artificial intelligence,Meta fires staff for abusing $25 meal credits,"Workers used benefits to buy acne pads, wine glasses and laundry detergent","{'Src': 'https://www.ft.com/__origami/service/image/v2/images/raw/https%3A%2F%2Fd1e00ek4ebabms.cloudfront.net%2Fproduction%2Feefa0360-fe39-4e9b-86e5-f351fe7bea10.jpg?source=next&fit=scale-down&dpr=2&width=240', 'Alt': 'The Meta logo is displayed against a textured surface with a pink and purple hue and silhouettes of people walking in the background'}"
21,2024-10-04T13:00:34.582Z,Artificial intelligence,Meta debuts AI filmmaker in challenge to OpenAI’s Sora,Instagram and Facebook owner says new tools trump rivals’ but will not be widely available until next year at the earliest,"{'Src': 'https://www.ft.com/__origami/service/image/v2/images/raw/https%3A%2F%2Fd1e00ek4ebabms.cloudfront.net%2Fproduction%2F3cf009ee-3ae2-4efb-b94d-0d256ede74ca.jpg?source=next&fit=scale-down&dpr=2&width=240', 'Alt': 'Still from a Meta AI Audio Generation video'}"
22,2024-10-04T05:38:14.382Z,US presidential election 2024,Can Zuckerberg rise above the US political fray?,Meta chief seeks neutral stance ahead of US election but critics argue he is placating critics such as Trump ,"{'Src': 'https://www.ft.com/__origami/service/image/v2/images/raw/https%3A%2F%2Fd1e00ek4ebabms.cloudfront.net%2Fproduction%2F742b0f4a-49f4-4450-adef-9c6e2f45036a.jpg?source=next&fit=scale-down&dpr=2&width=240', 'Alt': 'A montage of Donald Trump, Mark Zuckerberg abd Kamala Harris with a large Meta logo in the background'}"
23,2024-10-03T16:07:16.568Z,Revolut Ltd,Revolut urges Meta to share cost of reimbursing fraud victims,Financial and tech groups at odds about how to tackle and pay for the problem,"{'Src': 'https://www.ft.com/__origami/service/image/v2/images/raw/https%3A%2F%2Fd1e00ek4ebabms.cloudfront.net%2Fproduction%2F73956757-712d-4f72-8e92-9876b11060ca.jpg?source=next&fit=scale-down&dpr=2&width=240', 'Alt': 'A woman looks at her phone on London’s Oxford Street'}"
24,2024-10-03T04:00:55.976Z,Nuclear energy,Is nuclear energy the zero-carbon answer to powering AI?,"After decades of stagnation, the world’s biggest tech groups and banks are considering an alternative energy option","{'Src': 'https://www.ft.com/__origami/service/image/v2/images/raw/https%3A%2F%2Fd1e00ek4ebabms.cloudfront.net%2Fproduction%2F0cf9acea-9168-4619-a18b-792a2966dcbd.jpg?source=next&fit=scale-down&dpr=2&width=240', 'Alt': 'Montage image showing logos of Microsoft, Meta, Google and Amazon over the Three Mile Island nuclear plant'}"
25,2024-10-02T08:00:20.027Z,Financial fraud,Meta expands data accord with UK banks in push to cut online fraud ,Tech group to roll out channel for sharing of transaction intelligence  ,"{'Src': 'https://www.ft.com/__origami/service/image/v2/images/raw/https%3A%2F%2Fd1e00ek4ebabms.cloudfront.net%2Fproduction%2F6b6e435f-5777-4d11-8a23-e3469a9d9391.jpg?source=next&fit=scale-down&dpr=2&width=240', 'Alt': 'Signage outside Meta headquarters'}"
26,2024-10-01T04:00:36.154Z,Tech Exchange,Alice Newton-Rex: ‘WhatsApp makes people feel confident to be themselves’,"The messaging platform’s director of product discusses privacy issues, AI and new features for the app’s 2bn users ","{'Src': 'https://www.ft.com/__origami/service/image/v2/images/raw/https%3A%2F%2Fd1e00ek4ebabms.cloudfront.net%2Fproduction%2Fd0620208-e943-4a5f-b752-362b75d5cccb.jpg?source=next&fit=scale-down&dpr=2&width=240', 'Alt': ''}"
27,2024-09-25T20:16:04.736Z,Tech Exchange,Meta unveils augmented reality glasses prototype ‘Orion’ ,Mark Zuckerberg says lightweight AI-enabled device is the ‘most advanced’ in the world,"{'Src': 'https://www.ft.com/__origami/service/image/v2/images/raw/https%3A%2F%2Fd1e00ek4ebabms.cloudfront.net%2Fproduction%2Fcead90f5-1244-4c08-95fd-50b5d668155a.jpg?source=next&fit=scale-down&dpr=2&width=240', 'Alt': 'Mark Zuckerberg wears the Orion AR glasses during the Meta event on Wednesday'}"
28,2024-09-18T04:00:49.181Z,Tech Exchange,Meta faces hefty EU antitrust fine over classified ads practices,Brussels claims Facebook is breaking the law and undermining rivals with its free Marketplace services,"{'Src': 'https://www.ft.com/__origami/service/image/v2/images/raw/https%3A%2F%2Fd1e00ek4ebabms.cloudfront.net%2Fproduction%2Ff1983d97-98ad-41fb-a8bc-cd37785fb9b7.jpg?source=next&fit=scale-down&dpr=2&width=240', 'Alt': 'A montage showing the Meta logo against the backdrop of the EU’s circular 12 stars symbol'}"
